Year,Month,Adult Book of Tickets Ridership,Adult Cash-Single Ticket Ride Ridership,Adult Day Pass Ridership,Adult Low Income Monthly Pass Ridership,Adult Monthly Pass Ridership,Adult Ridership,Airport BRT Ridership - Total Trips,Boarding Passengers,Bus Boarding Passengers,CTrain Boarding Passengers,Free Fare Zone Ridership,Low Income Monthly Pass Ridership,Ridership,Seniors Low Income Pass Ridership,Seniors Pass Ridership,Seniors Regular Pass Ridership,U-Pass Ridership,Youth Book of Tickets Ridership,Youth Cash-Single Ticket Ride Ridership,Youth Day Pass Ridership,Youth Low Income Monthly Pass Ridership,Youth Monthly Pass Ridership,Youth Ridership,Weekend Group Pass Ridership,Date
2024,Oct,269807,1131285,48363,2103188,1855656,5408299,0,16288750,7328348,8960400,863503,2459596,10032900,281078,703659,422581,1196900,67779,127340,4765,356408,936762,1493054,13341,2024/10
2024,Sep,195031,1062488,56045,1944800,1747068,5005432,0,15245320,6730224,8515100,811412,2278368,9364500,274112,689940,415828,1148800,83617,119742,5740,333568,926990,1469657,19019,2024/09
2024,Aug,202148,1163989,75672,1994713,1741998,5178520,0,12534820,5447923,7086900,796814,2224108,7740400,267118,675039,407921,306300,93876,136233,11541,229395,116125,587170,27604,2024/08
2024,Jul,181824,1309327,106374,1739606,1605389,4942520,0,12716930,5605428,7111500,812206,1955542,7806200,265376,662040,396664,371600,94260,134004,80126,215936,189901,714227,54941,2024/07
2024,Jun,209610,954954,52879,1841346,1722144,4780933,0,12981250,5860649,7120600,794526,2130163,7901100,267009,667386,400377,386700,94554,118417,6722,288817,522514,1031024,20166,2024/06
2024,May,243558,1101847,51288,1926834,1929751,5253278,0,14251160,6386757,7864400,817209,2248905,8677500,254944,566511,311567,416900,66723,130287,4983,322071,816115,1340179,13612,2024/05
2024,Apr,235034,931441,41291,1519405,1595577,4322748,0,13068970,6087165,6981800,752042,1797686,7859800,244066,537628,293562,818600,68674,113877,4564,278281,710425,1175821,13691,2024/04
2024,Mar,308034,977034,44857,1686046,1819374,4835345,0,14536500,5743995,8792500,895862,2003896,8863600,239440,527848,288408,1010700,93069,118790,4722,317850,825316,1359747,14414,2024/03
2024,Feb,350715,950964,39851,1603355,1801866,4746751,0,14165860,5677355,8488500,839543,1894603,8783400,234345,519120,284775,940800,135072,120919,4097,291248,879456,1430792,12911,2024/02
2024,Jan,168423,848408,32752,1512309,1727820,4289712,0,12697180,5242176,7455000,841806,1790061,7896700,283122,513632,230510,993800,54665,103152,5128,277752,632431,1073128,6644,2024/01
2023,Dec,162136,683333,27595,1447412,1532560,3853036,0,12477050,5163454,7313600,801016,1728412,7503700,252480,533739,281259,708400,210669,66894,3329,281000,726068,1287960,13637,2023/12
2023,Nov,258261,885165,33071,1473911,1673662,4324070,0,13829890,6067988,7761900,797456,1761261,8367100,268821,599304,330483,1054900,62823,104189,3761,287350,863708,1321831,13272,2023/11
2023,Oct,261861,936216,42668,1467143,1641417,4349305,0,14062450,6097949,7964500,816093,1757149,8573700,266136,594515,328379,1110900,77455,107852,4053,290006,935653,1415019,17225,2023/10
2023,Sep,298214,976732,56515,1479084,1638580,4449125,0,14223060,5865663,8357400,823172,1768507,8756200,261378,586744,325366,1125000,97045,122848,5480,289423,951728,1466524,28543,2023/09
