Year,Month,Adult Book of Tickets Ridership,Adult Cash-Single Ticket Ride Ridership,Adult Day Pass Ridership,Adult Low Income Monthly Pass Ridership,Adult Monthly Pass Ridership,Adult Ridership,Airport BRT Ridership - Total Trips,Boarding Passengers,Bus Boarding Passengers,CTrain Boarding Passengers,Free Fare Zone Ridership,Low Income Monthly Pass Ridership,Ridership,Seniors Low Income Pass Ridership,Seniors Pass Ridership,Seniors Regular Pass Ridership,U-Pass Ridership,Youth Cash-Single Ticket Ride Ridership,Youth Low Income Monthly Pass Ridership,Youth Monthly Pass Ridership,Youth Ridership,Date
2024,Oct,269807,1131285,48363,2103188.0,1855656,5408299,0.0,16288750,7328348,8960400,863503,2459596.0,10032900,281078.0,703659,422581.0,1196900,127340,356408.0,936762.0,1493054.0,2024/10
2024,Sep,195031,1062488,56045,1944800.0,1747068,5005432,0.0,15245320,6730224,8515100,811412,2278368.0,9364500,274112.0,689940,415828.0,1148800,119742,333568.0,926990.0,1469657.0,2024/09
2024,Aug,202148,1163989,75672,1994713.0,1741998,5178520,0.0,12534820,5447923,7086900,796814,2224108.0,7740400,267118.0,675039,407921.0,306300,136233,229395.0,116125.0,587170.0,2024/08
2024,Jul,181824,1309327,106374,1739606.0,1605389,4942520,0.0,12716930,5605428,7111500,812206,1955542.0,7806200,265376.0,662040,396664.0,371600,134004,215936.0,189901.0,714227.0,2024/07
2024,Jun,209610,954954,52879,1841346.0,1722144,4780933,0.0,12981250,5860649,7120600,794526,2130163.0,7901100,267009.0,667386,400377.0,386700,118417,288817.0,522514.0,1031024.0,2024/06
2024,May,243558,1101847,51288,1926834.0,1929751,5253278,0.0,14251160,6386757,7864400,817209,2248905.0,8677500,254944.0,566511,311567.0,416900,130287,322071.0,816115.0,1340179.0,2024/05
2024,Apr,235034,931441,41291,1519405.0,1595577,4322748,0.0,13068970,6087165,6981800,752042,1797686.0,7859800,244066.0,537628,293562.0,818600,113877,278281.0,710425.0,1175821.0,2024/04
2024,Mar,308034,977034,44857,1686046.0,1819374,4835345,0.0,14536500,5743995,8792500,895862,2003896.0,8863600,239440.0,527848,288408.0,1010700,118790,317850.0,825316.0,1359747.0,2024/03
2024,Feb,350715,950964,39851,1603355.0,1801866,4746751,0.0,14165860,5677355,8488500,839543,1894603.0,8783400,234345.0,519120,284775.0,940800,120919,291248.0,879456.0,1430792.0,2024/02
2024,Jan,168423,848408,32752,1512309.0,1727820,4289712,0.0,12697180,5242176,7455000,841806,1790061.0,7896700,283122.0,513632,230510.0,993800,103152,277752.0,632431.0,1073128.0,2024/01
2023,Dec,162136,683333,27595,1447412.0,1532560,3853036,0.0,12477050,5163454,7313600,801016,1728412.0,7503700,252480.0,533739,281259.0,708400,66894,281000.0,726068.0,1287960.0,2023/12
